subject,night,condition,type,time_span,feature,data
AC12E,1,Known Alarm,imu,last_30min,ss_max_position,0.5425159645616167
AC12E,1,Known Alarm,imu,last_30min,ss_mean,446.92382799999996
AC12E,1,Known Alarm,imu,last_30min,ss_mean_60,592.2005206666666
AC12E,1,Known Alarm,imu,last_30min,ss_median,476.7578125
AC12E,1,Known Alarm,imu,last_30min,ss_median_60,626.054688
AC12E,1,Known Alarm,imu,last_30min,ss_number,4.0
AC12E,1,Known Alarm,imu,last_30min,ss_number_60,3.0
AC12E,1,Known Alarm,imu,last_30min,ss_skewness,-0.21975441612951377
AC12E,1,Known Alarm,imu,last_30min,ss_skewness_60,-0.24464688498888337
AC12E,1,Known Alarm,imu,last_30min,ss_std,354.8732339240927
AC12E,1,Known Alarm,imu,last_30min,ss_std_60,249.54080556218653
AC12E,1,Known Alarm,imu,last_hour,ss_max,2426.25
AC12E,1,Known Alarm,imu,last_hour,ss_max_60,2426.25
AC12E,1,Known Alarm,imu,last_hour,ss_max_position,0.0
AC12E,1,Known Alarm,imu,last_hour,ss_mean,896.9726565000001
AC12E,1,Known Alarm,imu,last_hour,ss_mean_60,1192.2656253333334
AC12E,1,Known Alarm,imu,last_hour,ss_median,575.273438
AC12E,1,Known Alarm,imu,last_hour,ss_median_60,823.085938
AC12E,1,Known Alarm,imu,last_hour,ss_number,4.0
AC12E,1,Known Alarm,imu,last_hour,ss_number_60,3.0
AC12E,1,Known Alarm,imu,last_hour,ss_skewness,0.8402907000007513
AC12E,1,Known Alarm,imu,last_hour,ss_skewness_60,0.5482274599202128
AC12E,1,Known Alarm,imu,last_hour,ss_std,1072.8891640493555
AC12E,1,Known Alarm,imu,last_hour,ss_std_60,1097.0182828227446
AC12E,1,Known Alarm,imu,total,ss_max,3205.234375
AC12E,1,Known Alarm,imu,total,ss_max_60,3205.234375
AC12E,1,Known Alarm,imu,total,ss_max_position,0.58332127296016
AC12E,1,Known Alarm,imu,total,ss_mean,530.3258384146342
AC12E,1,Known Alarm,imu,total,ss_mean_60,931.8240490434783
AC12E,1,Known Alarm,imu,total,ss_median,227.929687
AC12E,1,Known Alarm,imu,total,ss_median_60,539.21875
AC12E,1,Known Alarm,imu,total,ss_number,41.0
AC12E,1,Known Alarm,imu,total,ss_number_60,23.0
AC12E,1,Known Alarm,imu,total,ss_skewness,1.9364052644932863
AC12E,1,Known Alarm,imu,total,ss_skewness_60,1.3649492820176619
AC12E,1,Known Alarm,imu,total,ss_std,782.3417382319489
AC12E,1,Known Alarm,imu,total,ss_std_60,853.6759869232455
AC12E,1,Known Alarm,selfreport,last_30min,ss_max,846.953125
AC12E,1,Known Alarm,selfreport,last_30min,ss_max_60,846.953125
AC12E,1,Known Alarm,selfreport,last_30min,ss_max_position,0.5292563434378854
AC12E,1,Known Alarm,selfreport,last_30min,ss_mean,446.92382825
AC12E,1,Known Alarm,selfreport,last_30min,ss_mean_60,592.200521
AC12E,1,Known Alarm,selfreport,last_30min,ss_median,464.82421899999997
AC12E,1,Known Alarm,selfreport,last_30min,ss_median_60,602.1875
AC12E,1,Known Alarm,selfreport,last_30min,ss_number,4.0
AC12E,1,Known Alarm,selfreport,last_30min,ss_number_60,3.0
AC12E,1,Known Alarm,selfreport,last_30min,ss_skewness,-0.1382825885120306
AC12E,1,Known Alarm,selfreport,last_30min,ss_skewness_60,-0.07049195923893131
AC12E,1,Known Alarm,selfreport,last_30min,ss_std,359.79136791473843
AC12E,1,Known Alarm,selfreport,last_30min,ss_std_60,259.89004963766996
AC12E,1,Known Alarm,selfreport,last_hour,ss_max,2402.382813
AC12E,1,Known Alarm,selfreport,last_hour,ss_max_60,2402.382813
AC12E,1,Known Alarm,selfreport,last_hour,ss_max_position,0.0
AC12E,1,Known Alarm,selfreport,last_hour,ss_mean,896.84570325
AC12E,1,Known Alarm,selfreport,last_hour,ss_mean_60,1192.0963543333335
AC12E,1,Known Alarm,selfreport,last_hour,ss_median,586.953125
AC12E,1,Known Alarm,selfreport,last_hour,ss_median_60,846.953125
AC12E,1,Known Alarm,selfreport,last_hour,ss_number,4.0
AC12E,1,Known Alarm,selfreport,last_hour,ss_number_60,3.0
AC12E,1,Known Alarm,selfreport,last_hour,ss_skewness,0.8156041708626763
AC12E,1,Known Alarm,selfreport,last_hour,ss_skewness_60,0.5271760608728212
AC12E,1,Known Alarm,selfreport,last_hour,ss_std,1061.2045564089642
AC12E,1,Known Alarm,selfreport,last_hour,ss_std_60,1079.9050810251456
AC12E,1,Known Alarm,selfreport,total,ss_max,3205.234375
AC12E,1,Known Alarm,selfreport,total,ss_max_60,3205.234375
AC12E,1,Known Alarm,selfreport,total,ss_max_position,0.5706307870370371
AC12E,1,Known Alarm,selfreport,total,ss_mean,762.0940290714286
AC12E,1,Known Alarm,selfreport,total,ss_mean_60,964.2578126363637
AC12E,1,Known Alarm,selfreport,total,ss_median,356.4062505
AC12E,1,Known Alarm,selfreport,total,ss_median_60,693.0859375
AC12E,1,Known Alarm,selfreport,total,ss_number,28.0
AC12E,1,Known Alarm,selfreport,total,ss_number_60,22.0
AC12E,1,Known Alarm,selfreport,total,ss_skewness,1.4640079936742763
AC12E,1,Known Alarm,selfreport,total,ss_skewness_60,1.3093961074491751
AC12E,1,Known Alarm,selfreport,total,ss_std,854.8173434751739
AC12E,1,Known Alarm,selfreport,total,ss_std_60,860.0225962106234
AH10Y,0,Known Alarm,imu,last_30min,ss_max,808.867187
AH10Y,0,Known Alarm,imu,last_30min,ss_max_60,808.867187
AH10Y,0,Known Alarm,imu,last_30min,ss_max_position,0.5504153126697379
AH10Y,0,Known Alarm,imu,last_30min,ss_mean,444.765625
AH10Y,0,Known Alarm,imu,last_30min,ss_mean_60,582.0442706666666
AH10Y,0,Known Alarm,imu,last_30min,ss_median,468.6328125
AH10Y,0,Known Alarm,imu,last_30min,ss_median_60,678.359375
AH10Y,0,Known Alarm,imu,last_30min,ss_number,4.0
AH10Y,0,Known Alarm,imu,last_30min,ss_number_60,3.0
AH10Y,0,Known Alarm,imu,last_30min,ss_skewness,-0.12466001082403223
AH10Y,0,Known Alarm,imu,last_30min,ss_skewness_60,-0.5465871027440744
